Batsman,Batting_Position,runs_scored,balls_faced,4s,6s,Team,opponent,out,venue,won
Rohit Sharma,1,15,18,1,1,MI,CSK,1,Wankhade,0
Evin Lewis,2,0,2,0,0,MI,CSK,1,Wankhade,0
Ishan Kishan,3,40,29,4,1,MI,CSK,1,Wankhade,0
SK Yadav,4,43,29,6,1,MI,CSK,1,Wankhade,0
Hardik Pandya,5,22,20,2,0,MI,CSK,0,Wankhade,0
Krunal Pandya,6,41,22,5,2,MI,CSK,0,Wankhade,0
Shane Watson,1,16,14,1,1,CSK,MI,1,Wankhade,1
Ambati Rayudu,2,22,19,4,0,CSK,MI,1,Wankhade,1
Suresh Raina,3,4,6,0,0,CSK,MI,1,Wankhade,1
Kedar Jadhav,4,24,22,1,2,CSK,MI,0,Wankhade,1
MS Dhoni,5,5,5,0,0,CSK,MI,1,Wankhade,1
R Jadeja,6,12,13,1,0,CSK,MI,1,Wankhade,1
DJ Bravo,7,68,30,3,7,CSK,MI,1,Wankhade,1
Deepak Chahar,8,0,1,0,0,CSK,MI,1,Wankhade,1
Harbhajan Singh,9,8,5,1,0,CSK,MI,1,Wankhade,1
Mark Wood,10,1,3,0,0,CSK,MI,1,Wankhade,1
Imran Tahir,11,2,2,0,0,CSK,MI,0,Wankhade,1
Colin Munro,1,4,6,0,0,DD,KXIP,1,Mohali,0
Gautam Gambhir,2,55,42,5,1,DD,KXIP,1,Mohali,0
Shreyas Iyer,3,11,11,0,1,DD,KXIP,1,Mohali,0
Vijay Shankar,4,13,13,0,0,DD,KXIP,1,Mohali,0
Rishab Pant,5,28,13,4,1,DD,KXIP,1,Mohali,0
Rahul Thewatia,6,9,7,1,0,DD,KXIP,1,Mohali,0
Chris Morris,7,27,16,1,1,DD,KXIP,0,Mohali,0
Dan Christian,8,13,13,0,1,DD,KXIP,1,Mohali,0
KL Rahul,1,51,16,6,4,KXIP,DD,1,Mohali,1
Mayank Agarwal,2,7,5,0,1,KXIP,DD,1,Mohali,1
Yuvraj Singh,3,12,22,2,0,KXIP,DD,1,Mohali,1
Karun Nair,4,50,33,5,2,KXIP,DD,1,Mohali,1
